ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID345159940,1/17 Auburn Gr,2,u,573000.0,13/08/2016,1.0,1.0,0.0,49.0,-37.8254,145.047
ID727564395,47 Studley St,2,h,1180000.0,27/11/2016,1.0,0.0,162.0,119.0,-37.8016,144.9956
ID257534322,20 Viridian Dr,4,h,618350.0,29/07/2017,2.0,2.0,542.0,10.0,-37.68104,144.74608
ID146663791,22 Henderson St,2,h,835000.0,15/07/2017,1.0,1.0,207.0,69.0,-37.762209999999996,144.94055
ID538187798,7/44 Darling St,2,u,630000.0,17/09/2016,1.0,1.0,0.0,6.0,-37.8361,144.9921
ID526640095,59 Ford St,3,h,990000.0,15/07/2017,2.0,0.0,337.0,29.0,-37.84417,144.87544
ID270098965,27A Yerrin St,3,t,1680000.0,22/04/2017,3.0,1.0,329.0,14.0,-37.8101,145.0844
ID155758507,1/20 Kensington Pl,3,t,630000.0,22/07/2017,1.0,2.0,169.0,18.0,-37.87345,145.22973000000005
ID795709418,13 Gish Ct,5,h,800000.0,23/04/2016,2.0,1.0,808.0,49.0,-37.7091,144.9491
ID988781139,220 Waterloo Rd,3,h,1400000.0,13/05/2017,1.0,3.0,730.0,16.0,-37.7167,144.9216
ID448597560,2/19 Glanfield St,2,h,695000.0,8/04/2017,1.0,1.0,120.0,44.0,-37.7715,145.0075
ID202032951,28 Stawell St,3,h,1422000.0,6/08/2016,1.0,0.0,339.0,12.0,-37.8215,145.0102
ID436419478,90 Bent St,4,h,1400000.0,29/07/2017,2.0,1.0,375.0,89.0,-37.762609999999995,144.93249
ID396793180,5 Byron Ct,3,h,650000.0,8/07/2017,2.0,2.0,1103.0,43.0,-37.78695,145.32513
ID760276526,40 Kingston St,3,h,872500.0,29/04/2017,1.0,2.0,189.0,99.0,-37.8145,144.8808
ID478148353,65 Charlotte St,3,h,800000.0,10/12/2016,2.0,1.0,0.0,49.0,-37.8352,144.8661
ID859314256,46 Harold St,2,h,1110000.0,14/05/2016,1.0,0.0,288.0,94.0,-37.7564,144.9971
ID187957893,52 Tranmere Av,4,h,1966000.0,23/09/2017,2.0,2.0,627.0,114.0,-37.89184,145.06056
ID838195665,16 Muriel Ct,3,h,825000.0,1/07/2017,2.0,5.0,537.0,59.0,-37.70047,145.02881000000005
ID517451678,32 Cumberland St,3,h,770000.0,9/09/2017,1.0,2.0,608.0,59.0,-37.77388,144.84368999999995
ID794362676,129/4 Bik La,2,u,700000.0,4/03/2017,2.0,2.0,4296.0,8.0,-37.7846,144.9785
ID786284663,11 Madden St,4,h,1048000.0,10/09/2016,2.0,1.0,647.0,99.0,-37.79,144.8815
ID638079697,3/42 Sapphire St,2,u,660000.0,4/06/2016,2.0,1.0,217.0,13.0,-37.7465,144.8868
ID527334956,60 Gibdon St,2,h,1005000.0,3/12/2016,1.0,0.0,0.0,24.0,-37.8301,145.0103
ID336222019,18 Shelley St,2,h,584000.0,12/06/2016,1.0,1.0,428.0,69.0,-37.7418,145.0513
ID214613871,8 Rowallan Ct,5,h,1890000.0,23/09/2017,2.0,2.0,659.0,44.0,-37.78628,145.1667
ID903284254,28 Moubray St,2,h,2015000.0,3/06/2017,1.0,2.0,178.0,129.0,-37.84098,144.95115
ID577120818,14 Arthur St,3,h,1365000.0,3/09/2016,1.0,0.0,513.0,99.0,-37.8678,145.02700000000004
ID951417331,12 Norfolk Cct,4,h,1520000.0,26/07/2016,3.0,2.0,657.0,9.0,-37.7954,145.1379
ID855218504,13 Southernhay St,3,h,787000.0,22/05/2016,1.0,1.0,563.0,79.0,-37.7258,145.0129
ID245892241,16 Princes St,4,h,1126000.0,16/04/2016,1.0,1.0,307.0,119.0,-37.8525,144.8945
ID921009022,2306/265 Exhibition St,2,u,780000.0,4/06/2016,2.0,1.0,0.0,22.0,-37.8095,144.9691
ID582298066,11 Craigielea Av,2,h,610000.0,15/07/2017,1.0,2.0,419.0,44.0,-37.7398,144.80348
ID538256827,18 Hoddle St,4,h,1870000.0,18/03/2017,1.0,1.0,700.0,29.0,-37.755,144.9233
ID620002122,5 Athol Ct,3,h,650000.0,12/08/2017,3.0,2.0,1060.0,19.0,-38.15752,145.19127
ID793401715,16 Driscolls Rd,3,h,461000.0,19/11/2016,1.0,0.0,534.0,39.0,-37.7294,144.8216
ID619019068,5 Grainger Ct,3,h,1001000.0,29/07/2017,1.0,2.0,727.0,49.0,-37.9128,145.16152
ID225737667,121 Bent St,2,h,888000.0,16/04/2016,1.0,1.0,190.0,34.0,-37.7667,144.9909
ID648566870,232 Blyth St,3,h,1225000.0,12/08/2017,1.0,1.0,697.0,49.0,-37.87256,144.8078
ID820454441,9/55 Northcote Rd,1,u,421500.0,3/12/2016,1.0,0.0,0.0,130.0,-37.853,145.0167
ID568161148,14 Ebb St,3,h,970000.0,22/07/2017,2.0,2.0,612.0,59.0,-38.01596,145.09932
ID893607050,33 Cecil St,3,h,1310000.0,24/09/2016,2.0,1.0,185.0,119.0,-37.8664,144.9072
ID813759812,27 Helene Ct,4,h,783000.0,3/06/2017,1.0,3.0,730.0,44.0,-37.87377,145.28688
ID175745229,68 Thompson St,3,h,680000.0,6/08/2016,1.0,2.0,570.0,49.0,-37.7591,144.8542
